"juror_id","trial__id","struck_by","race","defendant_race","accused","fam_accused","know_def","fam_law_enforcement","death_hesitation","strike_eligibility","know_vic","know_wit","fam_crime_victim","crime_victim","prior_info","gender","same_race","struck_state_bin","struck_state","is_black"
1498,30,"Struck by the state","White","Black",FALSE,FALSE,FALSE,FALSE,FALSE,"State",FALSE,FALSE,FALSE,FALSE,FALSE,"Male",FALSE,1,"state",FALSE
1500,30,"Juror chosen to serve on jury","White","Black",FALSE,FALSE,FALSE,FALSE,FALSE,"Both State and Defense",FALSE,FALSE,FALSE,FALSE,FALSE,"Male",FALSE,0,"not_state",FALSE
1501,30,"Struck by the defense","White","Black",FALSE,FALSE,FALSE,FALSE,FALSE,"Both State and Defense",FALSE,FALSE,TRUE,FALSE,FALSE,"Female",FALSE,0,"not_state",FALSE
1502,30,"Juror chosen to serve on jury","Black","Black",FALSE,FALSE,FALSE,FALSE,FALSE,"Both State and Defense",FALSE,FALSE,FALSE,FALSE,FALSE,"Female",TRUE,0,"not_state",TRUE
1503,30,"Juror chosen to serve on jury","Black","Black",FALSE,FALSE,FALSE,FALSE,FALSE,"Both State and Defense",FALSE,FALSE,FALSE,FALSE,FALSE,"Female",TRUE,0,"not_state",TRUE
1504,30,"Juror chosen to serve on jury","White","Black",FALSE,FALSE,FALSE,FALSE,FALSE,"Both State and Defense",FALSE,FALSE,FALSE,FALSE,FALSE,"Male",FALSE,0,"not_state",FALSE
1505,30,"Struck by the state","Black","Black",FALSE,FALSE,FALSE,FALSE,FALSE,"State",FALSE,FALSE,FALSE,FALSE,FALSE,"Female",TRUE,1,"state",TRUE
1506,30,"Struck by the state","Black","Black",FALSE,FALSE,FALSE,FALSE,FALSE,"State",FALSE,FALSE,FALSE,FALSE,FALSE,"Female",TRUE,1,"state",TRUE
1507,30,"Struck by the defense","White","Black",FALSE,FALSE,FALSE,FALSE,FALSE,"Both State and Defense",FALSE,FALSE,FALSE,FALSE,FALSE,"Female",FALSE,0,"not_state",FALSE
1509,30,"Juror chosen to serve on jury","Black","Black",FALSE,FALSE,FALSE,TRUE,FALSE,"Both State and Defense",FALSE,FALSE,FALSE,FALSE,FALSE,"Female",TRUE,0,"not_state",TRUE
1510,30,"Struck by the state","Black","Black",FALSE,TRUE,FALSE,FALSE,FALSE,"State",FALSE,FALSE,FALSE,FALSE,FALSE,"Female",TRUE,1,"state",TRUE
1508,30,"Struck by the state","Black","Black",FALSE,FALSE,FALSE,FALSE,FALSE,"State",FALSE,FALSE,FALSE,FALSE,FALSE,"Female",TRUE,1,"state",TRUE
3465,70,"Juror chosen to serve on jury","White","Black",FALSE,FALSE,FALSE,FALSE,FALSE,"Both State and Defense",FALSE,FALSE,FALSE,FALSE,FALSE,"Male",FALSE,0,"not_state",FALSE
3187,64,"Juror chosen to serve on jury","Black","White",FALSE,FALSE,FALSE,FALSE,FALSE,"Both State and Defense",FALSE,FALSE,FALSE,FALSE,FALSE,"Male",FALSE,0,"not_state",TRUE
1511,30,"Juror chosen to serve on jury","White","Black",FALSE,FALSE,FALSE,FALSE,FALSE,"Both State and Defense",FALSE,FALSE,FALSE,FALSE,FALSE,"Male",FALSE,0,"not_state",FALSE
1513,30,"Struck by the defense","White","Black",FALSE,TRUE,FALSE,TRUE,FALSE,"Both State and Defense",FALSE,FALSE,FALSE,FALSE,FALSE,"Male",FALSE,0,"not_state",FALSE
1515,30,"Juror chosen to serve on jury","White","Black",FALSE,FALSE,FALSE,FALSE,FALSE,"Both State and Defense",FALSE,FALSE,FALSE,FALSE,FALSE,"Male",FALSE,0,"not_state",FALSE
1516,30,"Juror chosen as alternate","Black","Black",FALSE,TRUE,FALSE,FALSE,FALSE,"Both State and Defense",FALSE,FALSE,FALSE,FALSE,FALSE,"Male",TRUE,0,"not_state",TRUE
1514,30,"Struck by the state","White","Black",FALSE,FALSE,FALSE,FALSE,FALSE,"State",TRUE,FALSE,FALSE,FALSE,FALSE,"Male",FALSE,1,"state",FALSE
3574,72,"Struck by the state","Black","Black",FALSE,FALSE,FALSE,TRUE,FALSE,"State",FALSE,FALSE,FALSE,FALSE,FALSE,"Male",TRUE,1,"state",TRUE
3575,72,"Juror chosen to serve on jury","White","Black",FALSE,FALSE,FALSE,FALSE,FALSE,"Both State and Defense",FALSE,FALSE,FALSE,FALSE,FALSE,"Unknown",FALSE,0,"not_state",FALSE
3576,72,"Struck by the defense","White","Black",FALSE,FALSE,FALSE,FALSE,FALSE,"Both State and Defense",FALSE,FALSE,FALSE,FALSE,FALSE,"Female",FALSE,0,"not_state",FALSE
3577,72,"Juror chosen to serve on jury","White","Black",FALSE,FALSE,FALSE,TRUE,FALSE,"Both State and Defense",FALSE,FALSE,FALSE,FALSE,FALSE,"Unknown",FALSE,0,"not_state",FALSE
3578,72,"Struck by the defense","White","Black",FALSE,FALSE,FALSE,FALSE,FALSE,"Both State and Defense",FALSE,FALSE,FALSE,FALSE,FALSE,"Female",FALSE,0,"not_state",FALSE
3579,72,"Juror chosen to serve on jury","White","Black",FALSE,FALSE,FALSE,FALSE,FALSE,"Both State and Defense",FALSE,FALSE,FALSE,FALSE,FALSE,"Male",FALSE,0,"not_state",FALSE
3580,72,"Juror chosen to serve on jury","White","Black",FALSE,FALSE,FALSE,FALSE,FALSE,"Both State and Defense",FALSE,FALSE,FALSE,FALSE,FALSE,"Male",FALSE,0,"not_state",FALSE
3581,72,"Juror chosen to serve on jury","White","Black",FALSE,FALSE,FALSE,FALSE,FALSE,"Both State and Defense",FALSE,FALSE,FALSE,FALSE,FALSE,"Unknown",FALSE,0,"not_state",FALSE
3582,72,"Struck by the defense","White","Black",FALSE,FALSE,FALSE,FALSE,FALSE,"Both State and Defense",FALSE,FALSE,FALSE,FALSE,FALSE,"Male",FALSE,0,"not_state",FALSE
3583,72,"Struck by the defense","White","Black",FALSE,FALSE,FALSE,FALSE,FALSE,"Both State and Defense",FALSE,FALSE,FALSE,FALSE,FALSE,"Male",FALSE,0,"not_state",FALSE
3584,72,"Juror chosen to serve on jury","Black","Black",FALSE,FALSE,FALSE,FALSE,FALSE,"Both State and Defense",FALSE,FALSE,FALSE,FALSE,FALSE,"Male",TRUE,0,"not_state",TRUE
3585,72,"Juror chosen to serve on jury","Black","Black",FALSE,FALSE,FALSE,FALSE,FALSE,"Both State and Defense",FALSE,FALSE,FALSE,FALSE,FALSE,"Unknown",TRUE,0,"not_state",TRUE
3586,72,"Juror chosen to serve on jury","White","Black",FALSE,FALSE,FALSE,TRUE,FALSE,"Both State and Defense",FALSE,FALSE,FALSE,FALSE,FALSE,"Female",FALSE,0,"not_state",FALSE
3587,72,"Juror chosen to serve on jury","Unknown","Black",FALSE,FALSE,FALSE,FALSE,FALSE,"Both State and Defense",FALSE,FALSE,FALSE,FALSE,FALSE,"Unknown",FALSE,0,"not_state",FALSE
3588,72,"Juror chosen to serve on jury","Black","Black",FALSE,FALSE,FALSE,FALSE,FALSE,"Both State and Defense",FALSE,FALSE,FALSE,FALSE,FALSE,"Female",TRUE,0,"not_state",TRUE
3589,72,"Struck by the state","White","Black",FALSE,FALSE,FALSE,FALSE,FALSE,"State",FALSE,FALSE,FALSE,FALSE,FALSE,"Unknown",FALSE,1,"state",FALSE
3599,72,"Struck by the state","Black","Black",FALSE,TRUE,FALSE,FALSE,FALSE,"State",FALSE,FALSE,FALSE,FALSE,FALSE,"Female",TRUE,1,"state",TRUE
